,,,Naming Conventions,,,,,,Studio Categories,,,,,Studio Launch Dates,,,Studio Leadership,,,,,,Contact Information,,,,,,Geography,,,,,,,,,,,Online Footprint,,,Lease Information,,,Payroll,Franchising Information,,,,,,
Old Town,101,CO [DEN],COOT,COOT CO-Old Town,Old Town,Club Pilates Old Town,6920,COOT,Open,< 6 Months,12,3.5,Acquisition,TBD,1/28/2026,TBD,Kassandra Lopez,Stephanie Ibarra,Michelle Tafoya,A1QU,N/A,Amy Young,N/A,oldtown@clubpilates.com,oldtowngm@clubpilates.com,oldtowngm@riserfit.com,oldtownli@clubpilates.com,oldtownli@riserfit.com,(970) 657-2389,"244 North College Ave, Suite 125, Fort Collins, CO 80524","244 North College Ave, Suite 125",Fort Collins,Larimer County,CO,80524,40.59,-105.08,DEN,DEN,Northwest,,,,,,,,Lazetera,,,,8.00%,
Sloans Lake,27,CO [DEN],COSL,COSL CO-sloans-lake,Sloan's Lake,Club Pilates Sloan's Lake,3449,COSL,Open,2+ Years,12,4,Acquisition,1/9/2016,9/1/2023,2/23/2016,Kassandra Lopez,Stephanie Ibarra,Cheyanne Kratz,A1MA,Kevin Filippelli,Amy Young,Tammy Willenborg,sloanslake@clubpilates.com,sloanslakegm@clubpilates.com,sloanslakegm@riserfit.com,sloanslakeli@clubpilates.com,sloanslakeli@riserfit.com,(720) 446-9777,"1931 Sheridan Blvd, Unit V, Edgewater, CO 80214","1931 Sheridan Blvd, Unit V",Edgewater,Jefferson County,CO,80214,39.75,-105.06,DEN,DEN,Northwest,https://www.clubpilates.com/location/sloanslake,https://www.instagram.com/clubpilatessloanslake/,https://www.facebook.com/clubpilatessloanslake,1500,Apr-36,"WRI EDGEWATER MARKETPLACE, LLC",0,Lazetera,7/28/2015,6/1/2021,1636,8.00%,
Wheat Ridge,61,CO [DEN],COWR,COWR CO-Wheat Ridge,Wheat Ridge,Club Pilates Wheat Ridge,14636,COWR,Open,6 - 12 Months,18,4,De Novo,3/6/2025,3/6/2025,4/20/2025,Kassandra Lopez,Stephanie Ibarra,Breanna Brantley,A0GV,N/A,Amy Young,Tammy Willenborg,wheatridge@clubpilates.com,wheatridgegm@clubpilates.com,wheatridgegm@riserfit.com,sloanslakeli@clubpilates.com,sloanslakeli@riserfit.com,(303) 927-0910,"3294 Youngfield Street, Unit B, Wheat Ridge, CO 80033","3294 Youngfield Street, Unit B",Wheat Ridge,Jefferson County,CO,80033,39.76,-105.14,DEN,DEN,Northwest,https://www.clubpilates.com/location/WheatRidge,https://www.instagram.com/clubpilates_wheatridge/,https://www.facebook.com/clubpilateswheatridge/,2700,Mar-45,"U.S. Retail Partners, LLC C/o Regency Centers Corporation",0,Sep-23 Consolidated 45,5/9/2023,,3239,8.00%,
Arbor Lakes,79,MN [N],MNAL,MNAL MN-Arbor Lakes,Arbor Lakes,Club Pilates Arbor Lakes,3839,MNAL,Open,6 - 12 Months,12,4,Acquisition,6/4/2016,6/19/2025,7/19/2016,Kassandra Lopez,Ashley Scheerger,Olivia Switch,A1F4,Ashley McParland,Natasha Murphy,Hailey Haas,ArborLakes@clubpilates.com,ArborLakesgm@clubpilates.com,ArborLakesgm@riserfit.com,edenprairieli@clubpilates.com,edenprairieli@riserfit.com,(763) 219-4880,"11658 Fountains Drive, Maple Grove, MN 55369",11658 Fountains Drive,Maple Grove,Hennepin County,MN,55369,45.09,-93.43,MSP,MIN,Midwest,https://www.clubpilates.com/location/arborlakes,https://www.instagram.com/cparborlakes/,https://www.facebook.com/clubpilatesarborlakes/,1370,#N/A,"KIMCO ARBOR LAKES S.C., LLC",0,,,,,8.00%,
Minneapolis Lakes,62,MN [N],MNML,MNML MN-Minneapolis Lakes,Minneapolis Lakes,Club Pilates Minneapolis Lakes,13072,MNML,Open,6 - 12 Months,12,4,Acquisition,4/20/2023,3/11/2025,6/4/2023,Kassandra Lopez,Ashley Scheerger,Ellen Johnson,A0Z6,N/A,Natasha Murphy,Makayla Foertsch,minneapolislakes@clubpilates.com,minneapolislakesgm@clubpilates.com,minneapolislakesgm@riserfit.com,minneapolislakesli@clubpilates.com,minneapolislakesli@riserfit.com,(612) 564-0677,"3200B W Lake St, Minneapolis, MN 55416",3200B W Lake St,Minneapolis,Hennepin County,MN,55416,44.95,-93.32,MSP,MIN,Midwest,https://www.clubpilates.com/location/MinneapolisLakes,https://www.instagram.com/clubpilatesMinneapolisLakes,https://www.facebook.com/clubpilatesminneapolislakes/,1957,Jul-43,#N/A,0,Bounds,3/11/2025,,1281,8.00%,
Minnetonka West,63,MN [N],MNMT,MNMT MN-Minnetonka West,Minnetonka West,Club Pilates Minnetonka West,6317,MNMT,Open,6 - 12 Months,12,4,Acquisition,12/8/2017,3/11/2025,1/22/2018,Kassandra Lopez,Ashley Scheerger,Brooke Ranagan,A1OZ,N/A,Natasha Murphy,Christine Hager,minnetonkawest@clubpilates.com,minnetonkawestgm@clubpilates.com,minnetonkawestgm@riserfit.com,minnetonkawestli@clubpilates.com,minnetonkawestli@riserfit.com,(952) 777-4440,"17760 MN-7, Minnetonka, MN 55345",17760 MN-7,Minnetonka,Hennepin County,MN,55345,44.91,-93.51,MSP,MIN,Midwest,https://www.clubpilates.com/location/MinnetonkaWest,https://www.instagram.com/clubpilatesMinnetonkaWest,https://www.facebook.com/clubpilatesminnetonkawest/,1875,Apr-35,7-HI RETAIL LLC,0,Bounds,3/11/2025,,1278,8.00%,
Plymouth,80,MN [N],MNPL,MNPL MN-Plymouth,Plymouth,Club Pilates Plymouth,5846,MNPM,Open,6 - 12 Months,12,4,Acquisition,6/24/2017,6/19/2025,8/8/2017,Kassandra Lopez,Ashley Scheerger,Shauna Slipka,A1U4,N/A,Natasha Murphy,Christine Hager,Plymouth@clubpilates.com,Plymouthgm@clubpilates.com,Plymouthgm@riserfit.com,minnetonkawestli@clubpilates.com,minnetonkawestli@riserfit.com,(763) 390-7933,"4000 Annapolis Lane, Suite 105, Plymouth, MN 55447","4000 Annapolis Lane, Suite 105",Plymouth,Hennepin County,MN,55447,45.03,-93.46,MSP,MIN,Midwest,https://www.clubpilates.com/location/plymouth,https://www.instagram.com/clubpilatesplymouth/,https://www.facebook.com/clubpilatesplymouth/,1361,Dec-43,"ROCKFORD ROAD, LLC",0,,,,,8.00%,
Eden Prairie,64,MN [S],MNEP,MNEP MN-Eden Prairie,Eden Prairie,Club Pilates Eden Prairie,7430,MNEP,Open,6 - 12 Months,12,4,Acquisition,11/9/2018,3/11/2025,12/24/2018,Kassandra Lopez,Megan Koski,N/A,N/A,N/A,Natasha Murphy,Hailey Haas,edenprairie@clubpilates.com,edenprairiegm@clubpilates.com,edenprairiegm@riserfit.com,edenprairieli@clubpilates.com,edenprairieli@riserfit.com,(952) 479-0844,"574 Prairie Center Dr., Suite 155, Eden Prairie, MN 55344","574 Prairie Center Dr., Suite 155",Eden Prairie,Hennepin County,MN,55344,44.85,-93.43,MSP,MIN,Midwest,https://www.clubpilates.com/location/EdenPrairie,https://www.instagram.com/clubpilatesEdenPrairie,https://www.facebook.com/clubpilatesedenprairie/,1776,Nov-38,Tower Square Shopping Center Minneapolis LLC,0,Bounds,3/11/2025,,1279,8.00%,
Edina,65,MN [S],MNED,MNED MN-Edina,Edina,Club Pilates Edina,9820,MNED,Open,6 - 12 Months,18,4,Acquisition,3/5/2020,3/11/2025,4/19/2020,Kassandra Lopez,Megan Koski,Molly Buckley,A0YD,Olivia Davis,Natasha Murphy,Sophia Holms,edina@clubpilates.com,edinagm@clubpilates.com,edinagm@riserfit.com,edinali@clubpilates.com,edinali@riserfit.com,(952) 479-0443,"3940 W 50th St., Suite 110, Edina, MN 55424","3940 W 50th St., Suite 110",Edina,Hennepin County,MN,55424,44.91,-93.33,MSP,MIN,Midwest,https://www.clubpilates.com/location/edina,https://www.instagram.com/clubpilatesedina,https://www.facebook.com/ClubPilatesEdina/,2788,Jun-37,"LA Real Estate Group, LLC",0,Bounds,3/11/2025,,1280,8.00%,
Lakeville,66,MN [S],MNLV,MNLV MN-Lakeville,Lakeville,Club Pilates Lakeville,6712,MNLV,Open,6 - 12 Months,12,4,Acquisition,4/5/2018,3/11/2025,5/20/2018,Kassandra Lopez,Megan Koski,Aly Lockhart,A1MZ,N/A,Natasha Murphy,Natasha Murphy,lakeville@clubpilates.com,lakevillegm@clubpilates.com,lakevillegm@riserfit.com,lakevilleli@clubpilates.com,lakevilleli@riserfit.com,(952) 467-8727,"16106 Pilot Knob Rd., #130, Lakeville, MN 55044","16106 Pilot Knob Rd., #130",Lakeville,Dakota County,MN,55345,44.72,-93.18,MSP,MIN,Midwest,https://www.clubpilates.com/location/Lakeville,https://www.instagram.com/clubpilatesLakeville,https://www.facebook.com/clubpilateslakeville/,1600,Apr-43,"Thirty-Eight Properties, LLC",0,Bounds,3/11/2025,,1277,8.00%,
Savage,67,MN [S],MNSV,MNSV MN-Savage,Savage,Club Pilates Savage,5780,MNSV,Open,6 - 12 Months,12,4,Acquisition,4/22/2017,3/11/2025,6/6/2017,Kassandra Lopez,Megan Koski,N/A,N/A,N/A,Natasha Murphy,N/A,savage@clubpilates.com,savagegm@clubpilates.com,savagegm@riserfit.com,savageli@clubpilates.com,savageli@riserfit.com,(952) 777-5905,"14010 State Hwy 13, Savage, MN 55378",14010 State Hwy 13,Minneapolis,Scott County,MN,55378,44.75,-93.38,MSP,MIN,Midwest,https://www.clubpilates.com/location/Savage,https://www.instagram.com/clubpilates_savage/,https://www.facebook.com/clubpilatessavage/,1550,May-37,"TRP SAVAGE, LLC",0,Bounds,3/11/2025,,1276,8.00%,
Aliante,69,NV,NVAL,NVAL NV-Aliante,Aliante,Club Pilates Aliante,11981,NVAL,Open,6 - 12 Months,12,4,Acquisition,12/17/2020,4/9/2025,1/31/2021,Kassandra Lopez,Kristina Miranda,Lilian Salas,A13M,N/A,Lydia Rienbach,Sarah Jane Wunsch,aliante@clubpilates.com,aliantegm@clubpilates.com,aliantegm@riserfit.com,alianteli@clubpilates.com,alianteli@riserfit.com,(702) 342-8827,"6905 N Aliante Parkway, Suite 104, North Las Vegas, NV 89084","6905 N Aliante Parkway, Suite 104",Las Vegas,Clark County,NV,89084,36.29,-115.18,LAS,LV,Southwest,https://www.clubpilates.com/location/aliante,https://www.instagram.com/clubpilatesaliante/,https://www.facebook.com/clubpilatesaliante,1500,Mar-42,"Aliante Plaza, LLC",0,Kirkland,,,,8.00%,
Centennial Hills,70,NV,NVCH,NVCH NV-Centennial Hills,Centennial Hills,Club Pilates Centennial Hills,9324,NVCH,Open,6 - 12 Months,12,4,Acquisition,12/17/2020,4/9/2025,1/31/2021,Kassandra Lopez,Kristina Miranda,Kylie Garrett,A13J,Jinjoo Poynter,Lydia Rienbach,Jose Lopez,centennialhills@clubpilates.com,centennialhillsgm@clubpilates.com,centennialhillsgm@riserfit.com,centennialhillsli@clubpilates.com,centennialhillsli@riserfit.com,(702) 847-7585,"9670 W. Skye Canyon Park Dr., Suite 120, Las Vegas, NV 89166","9670 W. Skye Canyon Park Dr., Suite 120",Las Vegas,Clark County,NV,89166,36.31,-115.31,LAS,LV,Southwest,https://www.clubpilates.com/location/CentennialHills,https://www.instagram.com/clubpilatescentennialhills/,https://www.facebook.com/clubpilatescentennialhills,1680,Jan-36,"FTH NEVADA, INC",0,Kirkland,,,,8.00%,
Green Valley,71,NV,NVGV,NVGV NV-Green Valley,Green Valley,Club Pilates Green Valley,7322,NVGV,Open,6 - 12 Months,12,4,Acquisition,3/7/2019,4/9/2025,4/21/2019,Kassandra Lopez,Kristina Miranda,Regina Kelly,A13K,N/A,Lydia Rienbach,Dawn Lauro,greenvalley@clubpilates.com,greenvalleygm@clubpilates.com,greenvalleygm@riserfit.com,hendersonli@clubpilates.com,hendersonli@riserfit.com,(702) 852-2600,"1550 N Green Valley Pkwy, Suite 350, Henderson, NV 89074","1550 N Green Valley Pkwy, Suite 350",Henderson,Clark County,NV,89074,36.03,-115.09,LAS,LV,Southwest,https://www.clubpilates.com/location/greenvalley,https://www.instagram.com/clubpilatesgreenvalley/,https://www.facebook.com/clubpilatesgreenvalley,1493,Dec-44,"KRG Pebble Marketplace, LLC",0,Kirkland,,,,8.00%,
Henderson,72,NV,NVHE,NVHE NV-Henderson,Henderson,Club Pilates Henderson,5508,NVHE,Open,6 - 12 Months,12,4,Acquisition,12/10/2016,4/9/2025,1/24/2017,Kassandra Lopez,Kristina Miranda,Bryanna Dieter,A13W,Michael Young,Lydia Rienbach,Dawn Lauro,henderson@clubpilates.com,hendersongm@clubpilates.com,hendersongm@riserfit.com,hendersonli@clubpilates.com,hendersonli@riserfit.com,(702) 907-2758,"10525 S. Eastern Ave., Suite 140, Henderson, NV 89052","10525 S. Eastern Ave., Suite 140",Henderson,Clark County,NV,89052,36,-115.11,LAS,LV,Southwest,https://www.clubpilates.com/location/Henderson,https://www.instagram.com/clubpilateshenderson/,https://www.facebook.com/clubpilateshenderson,1490,Mar-37,"JMK Eastern Commons, LLC",0,Kirkland,,,,8.00%,
Mountains Edge,73,NV,NVME,NVME NV-Mountains Edge,Mountain's Edge,Club Pilates Mountain's Edge,11454,NVME,Open,6 - 12 Months,12,4,Acquisition,11/18/2021,4/9/2025,1/2/2022,Kassandra Lopez,Kristina Miranda,Alyssa Saga,A12A,Paizley Swaney,Lydia Rienbach,Lydia Rienbach,mountainsedge@clubpilates.com,mountainsedgegm@clubpilates.com,mountainsedgegm@riserfit.com,mountainsedgeli@clubpilates.com,mountainsedgeli@riserfit.com,(702) 665-7914,"8015 Blue Diamond Rd., #155, Las Vegas, NV 89178","8015 Blue Diamond Rd., #155",Las Vegas,Clark County,NV,89178,36.02,-115.27,LAS,LV,Southwest,https://www.clubpilates.com/location/MountainsEdge,https://www.instagram.com/clubpilatesmountainsedge/,https://www.facebook.com/clubpilatesmountainsedge/,1679,Dec-41,"RIDGECREST DIAMOND, LLC",0,Kirkland,,,,8.00%,
Spring Valley,74,NV,NVSV,NVSV NV-Spring Valley,Spring Valley,Club Pilates Spring Valley,3510,NVSV,Open,6 - 12 Months,12,4,Acquisition,7/12/2018,4/9/2025,8/26/2018,Kassandra Lopez,Kristina Miranda,Savannah May,A12T,N/A,Lydia Rienbach,Lydia Rienbach,springvalley@clubpilates.com,springvalleygm@clubpilates.com,springvalleygm@riserfit.com,mountainsedgeli@clubpilates.com,mountainsedgeli@riserfit.com,(702) 608-1396,"5060 S Fort Apache Rd, Ste 115, Las Vegas, NV 89148","5060 S Fort Apache Rd, Ste 115",Las Vegas,Clark County,NV,89148,36.1,-115.3,LAS,LV,Southwest,https://www.clubpilates.com/location/SpringValley,https://www.instagram.com/clubpilatesspringvalley/,https://www.facebook.com/clubpilatesspringvalley/,1755,N/A,"Tropicana Palm Plaza, LLC",0,Kirkland,,,,8.00%,
Summerlin,75,NV,NVSU,NVSU NV-Summerlin,Summerlin,Club Pilates Summerlin,6054,NVSU,Open,6 - 12 Months,12,4,Acquisition,9/16/2017,4/9/2025,10/31/2017,Kassandra Lopez,Kristina Miranda,Stephanie Rivera,A12V,Payton Hecht,Lydia Rienbach,Michelle Perks,summerlin@clubpilates.com,summerlingm@clubpilates.com,summerlingm@riserfit.com,summerlinli@clubpilates.com,summerlinli@riserfit.com,(702) 979-3422,"7460 W. Lake Mead Blvd., #E1, Las Vegas, NV 89128","7460 W. Lake Mead Blvd., #E1",Las Vegas,Clark County,NV,89128,36.2,-115.26,LAS,LV,Southwest,https://www.clubpilates.com/location/summerlin,https://www.instagram.com/clubpilatessummerlin/,https://www.facebook.com/clubpilatessummerlin,2100,Sep-37,"Gateway Plaza 31, LLC",0,Kirkland,,,,8.00%,
Cedar Hills,11,OR [N],ORCH,ORCH OR-cedar-hills,Cedar Hills,Club Pilates Cedar Hills,7014,7014,Open,2+ Years,12,4,Acquisition,9/11/2018,6/1/2022,10/26/2018,Kristin Chandler,Jacquelyn Weddle,Alessandra Stewart,A100,N/A,Jocelyn McLagan,Jocelyn McLagan,cedarhills@clubpilates.com,cedarhillsgm@clubpilates.com,cedarhillsgm@riserfit.com,westhillsli@clubpilates.com,westhillsli@riserfit.com,(503) 430-0693,"2725 SW Cedar Hills Blvd., Ste. 100, Beaverton, OR 97005","2725 SW Cedar Hills Blvd., Ste. 100",Beaverton,Washington County,OR,97005,45.5,-122.81,PDX,PDX,Northwest,https://www.clubpilates.com/location/cedarhills,https://www.instagram.com/clubpilatescedarhills/,https://www.facebook.com/clubpilatescedarhills,1844,Sep-33,"Center Developments Oreg., II, LLC",5,Sander,8/25/2016,5/31/2022,1228,7.00%,
Grant Park,28,OR [N],ORGP,ORGP OR-grant-park,Grant Park,Club Pilates Grant Park,13547,ORGP,Open,2+ Years,12,4,De Novo,2/15/2024,2/15/2024,3/31/2024,Kristin Chandler,Jacquelyn Weddle,Megan Kirchhofer,A0Q7,N/A,Jocelyn McLagan,Sarah Johnston,grantpark@clubpilates.com,grantparkgm@clubpilates.com,grantparkgm@riserfit.com,grantparkli@clubpilates.com,grantparkli@riserfit.com,(971) 200-7025,"3218 NE Broadway, Portland, OR 97232",3218 NE Broadway,Portland,Multnomah County,OR,97232,45.54,-122.63,PDX,PDX,Northwest,https://www.clubpilates.com/location/grantpark,https://www.instagram.com/clubpilates_grantpark/,https://www.facebook.com/clubpilatesgrantpark,2029,May-44,"GPV I, LLC",5,Sep-23 Consolidated 45,8/26/2022,1/11/2024,3115,8.00%,
Hillsboro,76,OR [N],ORHI,ORHI OR-hillsboro,Hillsboro,Club Pilates Hillsboro,13628,ORHI,Open,6 - 12 Months,12,4,De Novo,4/24/2025,4/24/2025,6/8/2025,Kristin Chandler,Jacquelyn Weddle,Kim Clark,A07X,N/A,Jocelyn McLagan,Jill Frerichs,hillsboro@clubpilates.com,hillsborogm@clubpilates.com,hillsborogm@riserfit.com,hillsboroli@clubpilates.com,hillsboroli@riserfit.com,(971) 405-3928,"7543 SE Blanton Street, Hillsboro, OR 97123",7543 SE Blanton Street,Hillsboro,Washington County,OR,97123,45.49,-122.9,PDX,PDX,Northwest,https://www.clubpilates.com/location/hillsboro,https://www.instagram.com/clubpilates_hillsboro/,https://www.facebook.com/clubpilateshillsboro,1548,May-45,Reed's Town Center LLC,5,Sep-23 Consolidated 45,8/26/2022,1/11/2024,3116,8.00%,
Slabtown,54,OR [N],ORST,ORST OR-Slabtown,Slabtown,Club Pilates Slabtown,14151,ORST,Open,13 - 24 Months,12,4,De Novo,12/5/2024,12/5/2024,1/19/2025,Kristin Chandler,Jacquelyn Weddle,N/A,N/A,N/A,Jocelyn McLagan,Sarah Johnston,slabtown@clubpilates.com,slabtowngm@clubpilates.com,slabtowngm@riserfit.com,grantparkli@clubpilates.com,grantparkli@riserfit.com,(503) 961-9026,"2070 NW Quimby, Suite 142, Portland, OR 97209","2070 NW Quimby, Suite 142",Portland,Multnomah County,OR,97209,45.53,-122.69,PDX,PDX,Northwest,https://www.clubpilates.com/location/slabtown,https://www.instagram.com/clubpilates_slabtown/,https://www.facebook.com/clubpilatesslabtown,2156,Aug-44,"Slabtown Square Owner, LLC",5,Sep-23 Consolidated 45,8/26/2022,No FA effective Date,3117,8.00%,
Tanasbourne,81,OR [N],ORTA,ORTA OR-Tanasbourne,Tanasbourne,Club Pilates Tanasbourne,14712,ORTA,Open,6 - 12 Months,12,4,De Novo,6/23/2025,6/23/2025,8/9/2025,Kristin Chandler,Jacquelyn Weddle,Megan McCarthy,A10H,N/A,Jocelyn McLagan,Jill Frerichs,tanasbourne@clubpilates.com,tanasbournegm@clubpilates.com,tanasbournegm@riserfit.com,hillboroli@clubpilates.com,hillsboroli@riserfit.com,(971) 462-2308,"2359 NW 185th Ave, Suite 33, Hillsboro, OR 97124","2359 NW 185th Ave, Suite 33",Hillsboro,Washington County,OR,97124,45.54,-122.87,PDX,PDX,Northwest,https://www.clubpilates.com/location/Tanasbourne,https://www.instagram.com/clubpilates_tanasbourne/,https://www.facebook.com/clubpilatestanasbourne/,2000,Jun-45,PK II TANASBOURNE VILLAGE LP,5,Sep-23 Consolidated 45,5/9/2023,,3371,8.00%,
West Hills,12,OR [N],ORWE,ORWE OR-west-hills,West Hills,Club Pilates West Hills,5630,5630,Open,2+ Years,12,4,Acquisition,4/18/2017,6/1/2022,6/2/2017,Kristin Chandler,Jacquelyn Weddle,N/A,A1TK,N/A,Jocelyn McLagan,Jocelyn McLagan,westhills@clubpilates.com,westhillsgm@clubpilates.com,westhillsgm@riserfit.com,westhillsli@clubpilates.com,westhillsli@riserfit.com,(503) 477-9172,"7515 SW Barnes Rd., Ste. 102, Portland, OR 97225","7515 SW Barnes Rd., Ste. 102",Portland,Washington County,OR,97225,45.52,-122.75,PDX,PDX,Northwest,https://www.clubpilates.com/location/westhills,https://www.instagram.com/clubpilateswesthills/,https://www.facebook.com/clubpilateswesthills,2097,Apr-32,Grandchildren LLC,5,Sander,8/25/2016,5/31/2022,1227,7.00%,
Woodstock,33,OR [N],ORWS,ORWS OR-woodstock,Southeast Woodstock,Club Pilates Southeast Woodstock,13166,ORWW,Open,13 - 24 Months,18,4,De Novo,5/16/2024,5/16/2024,6/30/2024,Kristin Chandler,Jacquelyn Weddle,Ricky Taylor,A0PE,Courtney Woolery,Jocelyn McLagan,Sarah Johnston,southeastwoodstock@clubpilates.com,southeastwoodstockgm@clubpilates.com,southeastwoodstockgm@riserfit.com,grantparkli@clubpilates.com,grantparkli@riserfit.com,(971) 281-2212,"4324 SE Woodstock Blvd., Suite 2, Portland, OR, 97206",4324 SE Woodstock Blvd.,Portland,Multnomah County,OR,97206,45.48,-122.62,PDX,PDX,Northwest,https://www.clubpilates.com/location/southeastwoodstock,https://www.instagram.com/clubpilates_southeastwoodstock/,https://www.facebook.com/clubpilatessoutheastwoodstock,2530,Jul-44,"Woodstock 44th Partners, LLC",5,Sep-23 Consolidated 45,8/26/2022,1/10/2024,3113,8.00%,
Eugene,56,OR [S],OREU,OREU OR-Eugene,Eugene,Club Pilates Eugene,9410,OREU,Open,13 - 24 Months,12,4,Acquisition,12/5/2019,2/10/2025,1/19/2020,Kristin Chandler,Janelle Engel,Augie Schiano,A1NN,N/A,Jocelyn McLagan,Paige Robinson,eugene@clubpilates.com,Eugenegm@clubpilates.com,Eugenegm@riserfit.com,eugeneli@clubpilates.com,eugeneli@riserfit.com,(541) 248-1406,"440 Coburg Road, Suite 100A, Eugene, OR 97401","440 Coburg Road, Suite 100A",Eugene,Lane County,OR,97401,44.07,-123.07,PDX,PDX,Northwest,https://www.clubpilates.com/location/eugene,https://www.instagram.com/clubpilateseugene/,https://www.facebook.com/clubpilateseugene,2000,Nov-39,"KS Realty Group, Inc.",5,Lisitza,,2/10/2024,1801,8.00%,
Happy Valley,16,OR [S],ORHV,ORHV OR-happy-valley,Happy Valley,Club Pilates Happy Valley,6660,6660,Open,2+ Years,12,4,Acquisition,3/15/2018,1/1/2023,4/29/2018,Kristin Chandler,Janelle Engel,Taycee Wedin,A09M,Kendal Kuhlemann Covert,Jocelyn McLagan,Toni Viuhkola,happyvalley@clubpilates.com,happyvalleygm@clubpilates.com,happyvalleygm@riserfit.com,happyvalleyli@clubpilates.com,happyvalleyli@riserfit.com,(971) 236-7634,"12900 SE 162nd Ave., Ste. 101, Happy Valley, OR 97086","12900 SE 162nd Ave., Ste. 101",Happy Valley,Clackamas County,OR,97086,45.43,-122.5,PDX,PDX,Northwest,https://www.clubpilates.com/location/happyvalley,https://www.instagram.com/clubpilates_happyvalley/,https://www.facebook.com/clubpilateshappyvalley,1608,Feb-43,"Happy Valley Business Park, LLC",5,McCartney,3/3/2017,1/1/2023,1421,8.00%,
Lake Oswego,9,OR [S],ORLO,ORLO OR-lake-oswego,Lake Oswego,Club Pilates Lake Oswego,7470,7470,Open,2+ Years,12,4,Acquisition,1/31/2019,12/1/2021,3/17/2019,Kristin Chandler,Janelle Engel,Emily Howard,A1PJ,N/A,Jocelyn McLagan,Heather Forsberg,lakeoswego@clubpilates.com,lakeoswegogm@clubpilates.com,lakeoswegogm@riserfit.com,progressridgeli@clubpilates.com,progressridgeli@riserfit.com,(503) 822-5473,"3 Monroe Parkway, Suite 300F, Lake Oswego, OR 97035","3 Monroe Parkway, Suite 300F",Lake Oswego,Clackamas County,OR,97035,45.43,-122.7,PDX,PDX,Northwest,https://www.clubpilates.com/location/lakeoswego,https://www.instagram.com/clubpilateslakeoswego/,https://www.facebook.com/clubpilateslakeoswego,1368,Jan-29,"RREEF AMERICA REIT II CORP. GG, C/o Jones Lang LaSalle Americas, Inc",5,Wynkoop,5/31/2018,4/29/2022,1744,7.00%,
Progress Ridge,10,OR [S],ORPR,ORPR OR-progress-ridge,Progress Ridge,Club Pilates Progress Ridge,3805,3805,Open,2+ Years,12,4,Acquisition,6/18/2016,12/1/2021,8/2/2016,Kristin Chandler,Janelle Engel,Taylor Murray,A10N,N/A,Jocelyn McLagan,Heather Forsberg,progressridge@clubpilates.com,progressridgegm@clubpilates.com,progressridgegm@riserfit.com,progressridgeli@clubpilates.com,progressridgeli@riserfit.com,(503) 605-1453,"12305 SW Horizon Blvd, Suite J207, Beaverton, OR 97007","12305 SW Horizon Blvd, Suite J207",Beaverton,Washington County,OR,97007,45.43,-122.83,PDX,PDX,Northwest,https://www.clubpilates.com/location/progressridge,https://www.instagram.com/clubpilates_progressridge/,https://www.facebook.com/ClubPilatesProgressRidge,1432,Jul-33,"DS Progress Ridge LLC c/o First Washington Realty, Inc.",5,Wynkoop,12/22/2015,4/29/2022,1091,7.00%,
Sherwood,15,OR [S],ORSH,ORSH OR-sherwood,Tualatin - Sherwood,Club Pilates Tualatin - Sherwood,6562,6562,Open,2+ Years,12,4,Acquisition,2/15/2018,10/22/2022,4/1/2018,Kristin Chandler,Janelle Engel,Natalie Quevedo-Gonzalez,A1J5,N/A,Jocelyn McLagan,Heather Forsberg,tualatinsherwood@clubpilates.com,sherwoodgm@clubpilates.com,sherwoodgm@riserfit.com,progressridgeli@clubpilates.com,progressridgeli@riserfit.com,(503) 352-4543,"21370 Sw. Langer Farms Pkwy., Ste.144, Sherwood, OR 97140","21370 Sw. Langer Farms Pkwy., Ste.144",Sherwood,Washington County,OR,97140,45.37,-122.84,PDX,PDX,Northwest,https://www.clubpilates.com/location/tualatinsherwood,https://www.instagram.com/clubpilatessherwood/,https://www.facebook.com/clubpilatessherwood,1380,Apr-33,Langer Gramor LLC,5,May,7/28/2016,9/30/2022,1202,7.00%,
West Linn,17,OR [S],ORWL,ORWL OR-west-linn,West Linn,Club Pilates West Linn,12312,12312,Open,2+ Years,12,4,Acquisition,9/22/2022,1/1/2023,11/6/2022,Kristin Chandler,Janelle Engel,N/A,A09F,N/A,Jocelyn McLagan,Toni Viuhkola,westlinn@clubpilates.com,westlinngm@clubpilates.com,westlinngm@riserfit.com,happyvalleyli@clubpilates.com,happyvalleyli@riserfit.com,(503) 218-3736,"1554 Garden Street, #101, West Linn, OR 97068","1554 Garden Street, #101",West Linn,Clackamas County,OR,97068,45.37,-122.61,PDX,PDX,Northwest,https://www.clubpilates.com/location/westlinn,https://www.instagram.com/clubpilateswestlinn/,https://www.facebook.com/clubpilateswestlinn,1943,Sep-42,West Linn Shopping Center Associates LLC,5,McCartney,3/3/2017,1/1/2023,1422,8.00%,
